Date,price,VIX,TNX,returns,momentum_20,realised_vol_20,ma_50,trend,vol_adj_mom,yield_change,trend_strength,market_regime,trend_direction
2024-08-19,548.0767822265625,14.649999618530272,3.867000102996826,0.009561257412605384,0.008942482787554829,0.013960230236060253,533.8950708007812,0.02656273152046585,0.6405225496860172,-0.024999856948852983,0.02656273152046585,chop,1.0
2024-08-20,547.1856079101562,15.880000114440918,3.818000078201294,-0.0016260026793798454,0.00888439650012307,0.013960692683846723,534.4123303222656,0.02390153980951007,0.6363409295208211,-0.04900002479553223,0.02390153980951007,chop,1.0
2024-08-21,549.0659790039062,16.270000457763672,3.7780001163482666,0.0034364410660061573,0.03582574945372685,0.0128541222023873,534.9349829101562,0.02641628711002315,2.786885172283599,-0.039999961853027344,0.02641628711002315,chop,1.0
2024-08-22,544.7566528320312,17.549999237060547,3.861999988555908,-0.00784846691775154,0.0330788512493998,0.012943505358849553,535.3462634277344,0.017578135960161022,2.555435710549213,0.0839998722076416,0.017578135960161022,chop,1.0
2024-08-23,550.544921875,15.859999656677246,3.806999921798706,0.010625421484762532,0.032492253270189675,0.012921964546275422,535.7872033691406,0.027543992116758013,2.514303366989767,-0.05500006675720215,0.027543992116758013,chop,1.0
2024-08-26,549.2324829101562,16.149999618530273,3.818000078201294,-0.002383890782924558,0.029425711181603198,0.012952229722763787,536.1806115722657,0.024342303798748,2.2716891316990195,0.01100015640258789,0.024342303798748,chop,1.0
2024-08-27,549.9866943359375,15.43000030517578,3.8329999446868896,0.0013732097959411327,0.03608851485940856,0.012859301333351138,536.5826599121094,0.02498037194497418,2.806195121246402,0.014999866485595703,0.02498037194497418,chop,1.0
2024-08-28,546.7937622070312,17.110000610351562,3.8410000801086426,-0.0058054715901108,0.01359803486639044,0.012500082146290975,536.8365051269532,0.018548025301899595,1.0877486210603717,0.00800013542175293,0.018548025301899595,chop,1.0
2024-08-29,546.8427734375,15.649999618530272,3.867000102996826,8.96338507427874e-05,0.028249963475464712,0.012001605341880555,537.0641882324219,0.018207479514248115,2.3536526171440824,0.026000022888183594,0.018207479514248115,chop,1.0
2024-08-30,552.0629272460938,15.0,3.91100001335144,0.009545986638498372,0.05775927618150378,0.01114302657698291,537.4253686523438,0.02723644890537147,5.182980835742166,0.043999910354613814,0.02723644890537147,chop,1.0
2024-09-03,540.7019653320312,20.71999931335449,3.8440001010894775,-0.02057910675280339,0.0670685832686706,0.009951911616288452,537.5736474609375,0.005819328915897111,6.738589254516178,-0.06699991226196245,0.005819328915897111,chop,1.0
2024-09-04,539.5952758789062,21.31999969482422,3.767999887466431,-0.002046764251070199,0.05515644000238473,0.009917886110243454,537.734462890625,0.003460468161698929,5.560749401631243,-0.07600021362304643,0.003460468161698929,chop,1.0
2024-09-05,538.2828979492188,19.899999618530277,3.7309999465942383,-0.0024321523711449133,0.059672925272632904,0.009749512448317718,537.8280920410157,0.0008456343484720508,6.119978369232116,-0.03699994087219283,0.0008456343484720508,chop,1.0
2024-09-06,529.2234497070312,22.3799991607666,3.7100000381469727,-0.016830273220090564,0.018298205470166362,0.009488341824976364,537.7272119140625,-0.0158142679384995,1.9282902658227237,-0.020999908447265625,0.0158142679384995,chop,-1.0
2024-09-09,535.1488037109375,19.450000762939453,3.697000026702881,0.011196317939400569,0.02517861074439076,0.009736690700372135,537.7279956054688,-0.004796461994929554,2.5856860234253016,-0.013000011444091797,0.004796461994929554,chop,-1.0
2024-09-10,537.4796752929688,19.07999992370605,3.6459999084472656,0.004355557867023352,0.0291030849368199,0.009758519664926935,537.8175109863281,-0.0006281604567686536,2.9820202157498072,-0.051000118255615234,0.0006281604567686536,chop,-1.0
2024-09-11,542.9937133789062,17.690000534057617,3.6530001163482666,0.010259063438876836,0.02283956919462904,0.009348642625773574,537.9953649902344,0.009290690429577534,2.4428280426108087,0.0070002079010009766,0.009290690429577534,chop,1.0
2024-09-12,547.5675048828125,17.06999969482422,3.680000066757202,0.008423286294503729,0.02821140063787686,0.009480765286911544,538.1928076171876,0.017418845315177636,2.9753321015886534,0.026999950408935547,0.017418845315177636,chop,1.0
2024-09-13,550.4273681640625,16.559999465942383,3.650000095367432,0.005222850617956354,0.016164060959463544,0.008791124071946196,538.3994592285156,0.02234012075863136,1.8384705251191389,-0.029999971389770064,0.02234012075863136,chop,1.0
2024-09-16,551.2403564453125,17.139999389648438,3.621000051498413,0.0014770128236205604,0.015388583199376304,0.008786362247646196,538.5600805664062,0.023544774921992695,1.7512175742496936,-0.029000043869019,0.023544774921992695,chop,1.0
2024-09-17,551.4656372070312,17.610000610351562,3.641999959945679,0.00040867973305047656,0.006183175588466927,0.008540987300955722,538.7126721191406,0.02367303712705353,0.7238567994329752,0.02099990844726607,0.02367303712705353,chop,1.0
2024-09-18,549.8300170898438,18.229999542236328,3.684999942779541,-0.002965951107074094,0.004832746222597439,0.008562474460439635,538.82197265625,0.020429835812609952,0.5643440924502197,0.04299998283386186,0.020429835812609952,chop,1.0
